datetime,open,high,low,close,volume
2026-04-24 01:00,101.23,101.23,101.23,101.23,1
2026-04-24 02:00,98.54,98.54,98.54,98.54,1
2026-04-24 03:00,90.23,90.23,90.23,90.23,1
2026-04-24 04:00,95.62,95.62,95.62,95.62,1
2026-04-24 05:00,97.95,97.95,97.95,97.95,1
2026-04-24 06:00,95.7,95.7,95.7,95.7,1
2026-04-24 07:00,96.51,96.51,96.51,96.51,1
2026-04-24 08:00,94.78,94.78,94.78,94.78,1
2026-04-24 09:00,98.14,98.14,98.14,98.14,1
2026-04-24 10:00,98.33,98.33,98.33,98.33,1
2026-04-24 11:00,97.22,97.22,97.22,97.22,1
2026-04-24 12:00,100.28,100.28,100.28,100.28,1
2026-04-24 13:00,104.19,104.19,104.19,104.19,1
2026-04-24 14:00,103.28,103.28,103.28,103.28,1
2026-04-24 15:00,102.63,102.63,102.63,102.63,1
2026-04-24 16:00,100.41,100.41,100.41,100.41,1
2026-04-24 17:00,92.7,92.7,92.7,92.7,1
2026-04-24 18:00,89.55,89.55,89.55,89.55,1
2026-04-24 19:00,91.99,91.99,91.99,91.99,1
2026-04-24 20:00,92.68,92.68,92.68,92.68,1
2026-04-24 21:00,92.44,92.44,92.44,92.44,1
2026-04-24 22:00,94.85,94.85,94.85,94.85,1
2026-04-24 23:00,95.36,95.36,95.36,95.36,1
2026-04-24 23:00,96.66,96.66,96.66,96.66,1
2026-04-24 01:00,97.27,97.27,97.27,97.27,1
2026-04-24 02:00,110.31,110.31,110.31,110.31,1
2026-04-24 03:00,106.97,106.97,106.97,106.97,1
2026-04-24 04:00,110.52,110.52,110.52,110.52,1
2026-04-24 05:00,134.74,134.74,134.74,134.74,1
2026-04-24 06:00,120.6,120.6,120.6,120.6,1
2026-04-24 07:00,100.53,100.53,100.53,100.53,1
2026-04-24 08:00,94.83,94.83,94.83,94.83,1
2026-04-24 09:00,205.97,205.97,205.97,205.97,1
2026-04-24 10:00,116.04,116.04,116.04,116.04,1
2026-04-24 11:00,90.36,90.36,90.36,90.36,1
2026-04-24 12:00,51.01,51.01,51.01,51.01,1
2026-04-24 13:00,125.77,125.77,125.77,125.77,1
2026-04-24 14:00,65.94,65.94,65.94,65.94,1
2026-04-24 15:00,51.37,51.37,51.37,51.37,1
2026-04-24 16:00,36.81,36.81,36.81,36.81,1
2026-04-24 17:00,44.56,44.56,44.56,44.56,1
2026-04-24 18:00,11.7,11.7,11.7,11.7,1
2026-04-24 19:00,-1.85,-1.85,-1.85,-1.85,1
2026-04-24 20:00,-7.25,-7.25,-7.25,-7.25,1
2026-04-24 21:00,-7.47,-7.47,-7.47,-7.47,1
2026-04-24 22:00,-15.0,-15.0,-15.0,-15.0,1
2026-04-24 23:00,-25.7,-25.7,-25.7,-25.7,1
2026-04-24 00:00,-36.07,-36.07,-36.07,-36.07,1
2026-04-24 01:00,-35.81,-35.81,-35.81,-35.81,1
2026-04-24 02:00,-47.08,-47.08,-47.08,-47.08,1
2026-04-24 03:00,-58.27,-58.27,-58.27,-58.27,1
2026-04-24 04:00,-72.89,-72.89,-72.89,-72.89,1
2026-04-24 05:00,-72.23,-72.23,-72.23,-72.23,1
2026-04-24 06:00,-101.3,-101.3,-101.3,-101.3,1
2026-04-24 07:00,-109.68,-109.68,-109.68,-109.68,1
2026-04-24 08:00,-120.1,-120.1,-120.1,-120.1,1
2026-04-24 09:00,-113.67,-113.67,-113.67,-113.67,1
2026-04-24 10:00,-111.81,-111.81,-111.81,-111.81,1
2026-04-24 11:00,-109.88,-109.88,-109.88,-109.88,1
2026-04-24 12:00,-104.07,-104.07,-104.07,-104.07,1
2026-04-24 13:00,-96.55,-96.55,-96.55,-96.55,1
2026-04-24 14:00,-86.53,-86.53,-86.53,-86.53,1
2026-04-24 15:00,-66.37,-66.37,-66.37,-66.37,1
2026-04-24 16:00,-50.23,-50.23,-50.23,-50.23,1
2026-04-24 17:00,-49.35,-49.35,-49.35,-49.35,1
2026-04-24 18:00,-33.81,-33.81,-33.81,-33.81,1
2026-04-24 19:00,-19.21,-19.21,-19.21,-19.21,1
2026-04-24 20:00,-7.87,-7.87,-7.87,-7.87,1
2026-04-24 21:00,-5.88,-5.88,-5.88,-5.88,1
2026-04-24 22:00,4.85,4.85,4.85,4.85,1
2026-04-24 23:00,30.47,30.47,30.47,30.47,1
2026-04-24 00:00,44.86,44.86,44.86,44.86,1
2026-04-24 01:00,25.8,25.8,25.8,25.8,1
2026-04-24 02:00,53.52,53.52,53.52,53.52,1
2026-04-24 03:00,85.2,85.2,85.2,85.2,1
2026-04-24 04:00,127.86,127.86,127.86,127.86,1
2026-04-24 05:00,80.55,80.55,80.55,80.55,1
2026-04-24 06:00,103.75,103.75,103.75,103.75,1
2026-04-24 07:00,111.19,111.19,111.19,111.19,1
2026-04-24 08:00,155.63,155.63,155.63,155.63,1
2026-04-24 09:00,109.79,109.79,109.79,109.79,1
2026-04-24 10:00,123.23,123.23,123.23,123.23,1
2026-04-24 11:00,141.55,141.55,141.55,141.55,1
2026-04-24 12:00,146.92,146.92,146.92,146.92,1
2026-04-24 13:00,175.32,175.32,175.32,175.32,1
2026-04-24 14:00,130.42,130.42,130.42,130.42,1
2026-04-24 15:00,116.93,116.93,116.93,116.93,1
2026-04-24 16:00,101.26,101.26,101.26,101.26,1
2026-04-24 17:00,131.47,131.47,131.47,131.47,1
2026-04-24 18:00,117.63,117.63,117.63,117.63,1
2026-04-24 19:00,115.75,115.75,115.75,115.75,1
2026-04-24 20:00,102.29,102.29,102.29,102.29,1
2026-04-24 21:00,121.67,121.67,121.67,121.67,1
2026-04-24 22:00,112.14,112.14,112.14,112.14,1
2026-04-24 23:00,104.42,104.42,104.42,104.42,1
2026-04-24 00:00,93.7,93.7,93.7,93.7,1
2026-04-25 01:00,98.1,98.1,98.1,98.1,1
2026-04-25 02:00,94.53,94.53,94.53,94.53,1
2026-04-25 03:00,92.52,92.52,92.52,92.52,1
2026-04-25 04:00,90.81,90.81,90.81,90.81,1
2026-04-25 05:00,91.66,91.66,91.66,91.66,1
2026-04-25 06:00,89.22,89.22,89.22,89.22,1
2026-04-25 07:00,91.34,91.34,91.34,91.34,1
2026-04-25 08:00,88.45,88.45,88.45,88.45,1
2026-04-25 09:00,101.01,101.01,101.01,101.01,1
2026-04-25 10:00,103.03,103.03,103.03,103.03,1
2026-04-25 11:00,104.15,104.15,104.15,104.15,1
2026-04-25 12:00,111.04,111.04,111.04,111.04,1
2026-04-25 13:00,116.16,116.16,116.16,116.16,1
2026-04-25 14:00,110.0,110.0,110.0,110.0,1
2026-04-25 15:00,116.45,116.45,116.45,116.45,1
2026-04-25 16:00,125.84,125.84,125.84,125.84,1
2026-04-25 17:00,105.96,105.96,105.96,105.96,1
2026-04-25 18:00,107.05,107.05,107.05,107.05,1
2026-04-25 19:00,118.66,118.66,118.66,118.66,1
2026-04-25 20:00,120.9,120.9,120.9,120.9,1
2026-04-25 21:00,103.4,103.4,103.4,103.4,1
2026-04-25 22:00,103.51,103.51,103.51,103.51,1
2026-04-25 23:00,106.31,106.31,106.31,106.31,1
2026-04-25 23:00,107.08,107.08,107.08,107.08,1
2026-04-25 01:00,112.39,112.39,112.39,112.39,1
2026-04-25 02:00,114.62,114.62,114.62,114.62,1
2026-04-25 03:00,113.31,113.31,113.31,113.31,1
2026-04-25 04:00,108.3,108.3,108.3,108.3,1
2026-04-25 05:00,146.22,146.22,146.22,146.22,1
2026-04-25 06:00,153.71,153.71,153.71,153.71,1
2026-04-25 07:00,130.8,130.8,130.8,130.8,1
2026-04-25 08:00,114.59,114.59,114.59,114.59,1
2026-04-25 09:00,181.69,181.69,181.69,181.69,1
2026-04-25 10:00,105.36,105.36,105.36,105.36,1
2026-04-25 11:00,63.97,63.97,63.97,63.97,1
2026-04-25 12:00,10.52,10.52,10.52,10.52,1
2026-04-25 13:00,34.96,34.96,34.96,34.96,1
2026-04-25 14:00,7.83,7.83,7.83,7.83,1
2026-04-25 15:00,-0.12,-0.12,-0.12,-0.12,1
2026-04-25 16:00,-1.42,-1.42,-1.42,-1.42,1
2026-04-25 17:00,-2.5,-2.5,-2.5,-2.5,1
2026-04-25 18:00,-10.49,-10.49,-10.49,-10.49,1
2026-04-25 19:00,-21.46,-21.46,-21.46,-21.46,1
2026-04-25 20:00,-32.29,-32.29,-32.29,-32.29,1
2026-04-25 21:00,-43.52,-43.52,-43.52,-43.52,1
2026-04-25 22:00,-58.42,-58.42,-58.42,-58.42,1
2026-04-25 23:00,-94.03,-94.03,-94.03,-94.03,1
2026-04-25 00:00,-142.31,-142.31,-142.31,-142.31,1
2026-04-25 01:00,-141.69,-141.69,-141.69,-141.69,1
2026-04-25 02:00,-168.53,-168.53,-168.53,-168.53,1
2026-04-25 03:00,-182.65,-182.65,-182.65,-182.65,1
2026-04-25 04:00,-226.56,-226.56,-226.56,-226.56,1
2026-04-25 05:00,-244.64,-244.64,-244.64,-244.64,1
2026-04-25 06:00,-279.05,-279.05,-279.05,-279.05,1
2026-04-25 07:00,-320.03,-320.03,-320.03,-320.03,1
2026-04-25 08:00,-333.66,-333.66,-333.66,-333.66,1
2026-04-25 09:00,-337.01,-337.01,-337.01,-337.01,1
2026-04-25 10:00,-321.45,-321.45,-321.45,-321.45,1
2026-04-25 11:00,-291.06,-291.06,-291.06,-291.06,1
2026-04-25 12:00,-255.39,-255.39,-255.39,-255.39,1
2026-04-25 13:00,-243.31,-243.31,-243.31,-243.31,1
2026-04-25 14:00,-214.62,-214.62,-214.62,-214.62,1
2026-04-25 15:00,-172.59,-172.59,-172.59,-172.59,1
2026-04-25 16:00,-106.56,-106.56,-106.56,-106.56,1
2026-04-25 17:00,-91.06,-91.06,-91.06,-91.06,1
2026-04-25 18:00,-55.81,-55.81,-55.81,-55.81,1
2026-04-25 19:00,-25.2,-25.2,-25.2,-25.2,1
2026-04-25 20:00,-9.38,-9.38,-9.38,-9.38,1
2026-04-25 21:00,-6.92,-6.92,-6.92,-6.92,1
2026-04-25 22:00,-1.58,-1.58,-1.58,-1.58,1
2026-04-25 23:00,-0.09,-0.09,-0.09,-0.09,1
2026-04-25 00:00,24.42,24.42,24.42,24.42,1
2026-04-25 01:00,21.35,21.35,21.35,21.35,1
2026-04-25 02:00,58.8,58.8,58.8,58.8,1
2026-04-25 03:00,100.7,100.7,100.7,100.7,1
2026-04-25 04:00,140.07,140.07,140.07,140.07,1
2026-04-25 05:00,86.41,86.41,86.41,86.41,1
